,Revenue,Operating Income,Net Income,Margen_Operativo,Margen_Operativo_%
2020-03-31,5995.7,487.4004,328.4,0.08129165902229932,8.129165902229932
2020-06-30,4222.1,-703.8999,-678.4,-0.16671796025674426,-16.671796025674425
2020-09-30,6203.1,558.3989,392.5999,0.09001932904515485,9.001932904515485
2020-12-31,6749.4,913.4995,622.2,0.13534528995169942,13.534528995169943
2021-03-31,6668.0,987.6001,659.4,0.14811039292141573,14.811039292141572
2021-06-30,7496.5,1488.7,1153.4,0.1985860068031748,19.85860068031748
2021-09-30,8146.7,1482.301,1764.3,0.18195109676310653,18.195109676310654
2021-12-31,8050.4,1177.8,815.9,0.14630328927755143,14.630328927755142
2022-03-31,7635.6,948.8999,674.5,0.12427312850332652,12.427312850332651
2022-06-30,8150.1,1295.5,912.9,0.1589551048453393,15.895510484533931
2022-09-30,8414.201,1195.601,878.3002,0.1420932302425388,14.20932302425388
2022-12-31,8713.9,1253.1,855.2,0.14380472578294448,14.380472578294448
2023-03-31,8719.8,1327.5,908.3,0.1522397302690429,15.22397302690429
2023-06-30,9168.3,1583.899,1141.7,0.17275819944809834,17.275819944809832
2023-09-30,9373.6,1706.301,1219.3,0.1820326235384484,18.203262353844842
2023-12-31,9425.3,1485.399,1024.4,0.1575969995650006,15.759699956500059
2024-03-31,8563.0,1098.9,772.4,0.12833119233913348,12.833119233913347
2024-06-30,9113.9,1517.5,1054.8,0.16650391160754452,16.650391160754452
2024-09-30,9073.999,1307.001,909.2998,0.1440380365922456,14.40380365922456
2024-12-31,9397.8,1121.7,780.8,0.11935772202004725,11.935772202004726
2025-03-31,8761.6,600.9995,384.2,0.06859472014243974,6.859472014243974
2025-06-30,9456.0,935.5996,558.3,0.09894242808798646,9.894242808798646
2025-09-30,9568.999,278.2979,133.1001,0.029083282378856976,2.9083282378856974
2025-12-31,9915.1,890.7998,293.3,0.08984274490423697,8.984274490423697
